OrderId,TransactionId,DateOfService,DateOfOrder,OrderQty,MenuName,MenuPrice,MenuSubsidy,BookingNr,GroupName,CanceledQty,DateOfCancel,Site,SchoolID
11518978,4c5060636f584ef9a1effa77282755f5,2020-01-02,2020-02-05 11:54:08,1,Mittagessen (Gs),"3,10","0,00",349-88220481,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11285143,68472c70b9c84fb784834ecc257827d7,2020-01-02,2019-12-16 10:30:51,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-141751492,Steinfurt Abo ermäßigt,0,,BK,SCH002
11285146,7262eace0d104592b1269e38f5b45ec1,2020-01-02,2019-12-16 10:31:33,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-77489928,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11285152,8e451931e8fc4554869c3e4533b65e23,2020-01-02,2019-12-16 10:32:05,1,Smart Eating Buffet (WGrus),"0,00","3,50",248-77558043,Steinfurt Abo ermäßigt,0,,BK,SCH002
11285155,bfa8fa0812ee40baa98e5aaf52d30e0b,2020-01-02,2019-12-16 10:32:31,1,Smart Eating Buffet (WGrus),"2,90","0,60",248-77420774,Westerkappeln Grundschüler Abo,0,,BK,SCH002
11519027,1ab385563a774c6188f876a52861d727,2020-01-02,2020-02-05 11:54:19,1,Mittagessen (Gs),"3,10","0,00",349-138519045,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11553324,ae2754abcd124784a462c1519072abe6,2020-01-02,2020-02-12 11:58:44,1,Mittagessen (Gs),"3,10","0,00",349-129282587,"xxx3,45€ normal 5T (68€)",0,,LP,SCH001
11310485,303a7ae9b619484cae22fab0f676cd6b,2020-01-02,2020-01-01 20:32:11,0,Mittagessen (BS),"0,00","3,05",474-136036082,"Kreis Soest ermäßigt (E,M)",1,2020-01-01 20:32:12,LP,SCH003
11519042,832f298bfcac49949597efc582951fd4,2020-01-02,2020-02-05 11:54:23,1,Mittagessen (Gs),"3,10","0,00",349-119275576,"xxx3,45€ normal 2T (28€)",0,,LP,SCH001
11544518,c7d948e170bd473ba8f7766b09ad7c02,2020-01-02,2020-02-07 10:11:18,1,Mittagessen (Gs),"0,00","3,10",349-138338698,"xxx3,45€ BuT 5T",0,,LP,SCH001
11181551,22139a3f13744e7eb1919415f00aaa6f,2020-01-02,2019-12-07 20:15:41,1,Mittagessen (BS),"3,05","0,00",474-136044098,Bad Sassendorf,0,,LP,SCH003
11288222,aa1d27b74dae48e099100d1f21f365ea,2020-01-02,2019-12-18 10:11:08,0,Smart Eating Buffet (WGrus),"2,90","0,60",248-77410890,Westerkappeln Grundschüler Abo,1,2019-12-18 10:11:14,BK,SCH002
